original_region,original_pdf,prior_cases_count,county,pdf_file
Clark,2021-05-20_ID 1449816.pdf,2,Clark,2021-05-20_ID 1449816.pdf
Clark,2021-05-29_ID 1484590.pdf,0,Clark,2021-05-29_ID 1484590.pdf
Clark,2021-05-29_ID 1484593.pdf,0,Clark,2021-05-29_ID 1484593.pdf
Clark,2021-05-31_ID 1484627.pdf,0,Clark,2021-05-31_ID 1484627.pdf
Clark,2021-06-04_ID 1484800 (002).pdf,0,Clark,2021-06-04_ID 1484800 (002).pdf
Clark,2021-06-06_ID 1454929_1 DUPE.pdf,2,Clark,2021-06-06_ID 1454929_1 DUPE.pdf
Clark,2021-06-06_ID 1454929_1(1).pdf,2,Clark,2021-06-06_ID 1454929_1(1).pdf
Clark,2021-06-06_ID 1454929_2 DUPE.pdf,2,Clark,2021-06-06_ID 1454929_2 DUPE.pdf
Clark,2021-06-06_ID 1454929_2(1) (002).pdf,2,Clark,2021-06-06_ID 1454929_2(1) (002).pdf
Clark,2021-06-06_ID1454929_1(1).pdf,2,Clark,2021-06-06_ID1454929_1(1).pdf
Clark,2021-06-06_ID1454929_2(1).pdf,2,Clark,2021-06-06_ID1454929_2(1).pdf
Clark,2021-06-08_ID 1484948.pdf,2,Clark,2021-06-08_ID 1484948.pdf
Clark,2021-06-10_ID 1455282(1).pdf,4,Clark,2021-06-10_ID 1455282(1).pdf
Clark,2021-06-14_ID 1479782.pdf,1,Clark,2021-06-14_ID 1479782.pdf
Clark,2021-06-14_ID 1485129.pdf,0,Clark,2021-06-14_ID 1485129.pdf
Clark,2021-06-23_ID 1362981.pdf,6,Clark,2021-06-23_ID 1362981.pdf
Clark,2021-06-28_ID 1485680.pdf,0,Clark,2021-06-28_ID 1485680.pdf
Clark,2021-07-13_ID 1376253.pdf,6,Clark,2021-07-13_ID 1376253.pdf
Clark,2021-07-15_ID 1486266.pdf,0,Clark,2021-07-15_ID 1486266.pdf
Clark,2021-07-20_ID 1486329_Child 1.pdf,1,Clark,2021-07-20_ID 1486329_Child 1.pdf
Clark,2021-07-20_ID 1486329_Child 2.pdf,1,Clark,2021-07-20_ID 1486329_Child 2.pdf
